type,id,well,stand.conc,abs.650,plate
POS,positive.control,H7,10,2.413,2
POS,positive.control,H8,10,2.503,2
SPL,CC1_AS_1,A4,,1.044,2
SPL,CC1_AS_1,B4,,1.057,2
SPL,CC1_AS_2,A5,,2.944,2
SPL,CC1_AS_2,B5,,2.955,2
SPL,CC1_AS_3,A6,,2.472,2
SPL,CC1_AS_3,B6,,2.517,2
SPL,CC1_AS_4,A7,,0.593,2
SPL,CC1_AS_4,B7,,0.596,2
SPL,CC1_AS_5,A8,,2.264,2
SPL,CC1_AS_5,B8,,2.236,2
SPL,MP1_C_1,A9,,0.508,2
SPL,MP1_C_1,B9,,0.522,2
SPL,MP1_C_2,A10,,0.546,2
SPL,MP1_C_2,B10,,0.545,2
SPL,MP1_C_3,A11,,0.445,2
SPL,MP1_C_3,B11,,0.432,2
SPL,MP1_C_4,A12,,0.56,2
SPL,MP1_C_4,B12,,0.534,2
SPL,MP1_C_5,C4,,0.706,2
SPL,MP1_C_5,D4,,0.677,2
SPL,MP1_NO3_1,C5,,0.519,2
SPL,MP1_NO3_1,D5,,0.558,2
SPL,MP1_NO3_2,C6,,0.671,2
SPL,MP1_NO3_2,D6,,0.68,2
SPL,MP1_NO3_3,C7,,0.681,2
SPL,MP1_NO3_3,D7,,0.68,2
SPL,MP1_NO3_4,C8,,0.668,2
SPL,MP1_NO3_4,D8,,0.706,2
SPL,MP1_NO3_5,C9,,0.395,2
SPL,MP1_NO3_5,D9,,0.385,2
SPL,MP1_S_1,C10,,0.858,2
SPL,MP1_S_1,D10,,0.845,2
SPL,MP1_S_2,C11,,1.298,2
SPL,MP1_S_2,D11,,1.273,2
SPL,MP1_S_3,C12,,0.926,2
SPL,MP1_S_3,D12,,0.95,2
SPL,MP1_S_4,E4,,3.058,2
SPL,MP1_S_4,F4,,3.118,2
SPL,MP1_S_5,E5,,0.389,2
SPL,MP1_S_5,F5,,0.422,2
SPL,MP1_AS_1,E6,,0.647,2
SPL,MP1_AS_1,F6,,0.679,2
SPL,MP1_AS_2,E7,,1.794,2
SPL,MP1_AS_2,F7,,1.794,2
SPL,MP1_AS_3,E8,,2.882,2
SPL,MP1_AS_3,F8,,2.889,2
SPL,MP1_AS_4,E9,,1.242,2
SPL,MP1_AS_4,F9,,1.204,2
SPL,MP1_AS_5,E10,,0.375,2
SPL,MP1_AS_5,F10,,0.382,2
SPL,,E11,,0.382,2
SPL,,F11,,0.399,2
SPL,,E12,,0.361,2
SPL,,F12,,0.365,2
SPL,,G4,,0.363,2
SPL,,G5,,0.381,2
SPL,,G6,,0.381,2
SPL,,G7,,0.382,2
SPL,,G8,,0.395,2
SPL,,G9,,0.382,2
SPL,,G10,,0.381,2
SPL,,G11,,0.368,2
SPL,,G12,,0.36,2
SPL,,H12,,0.355,2
STD,ref.curve,A1,0,0.466,2
STD,ref.curve,A2,0,0.428,2
STD,ref.curve,A3,0,0.419,2
STD,ref.curve,B1,0.5,0.569,2
STD,ref.curve,B2,0.5,0.531,2
STD,ref.curve,B3,0.5,0.51,2
STD,ref.curve,C1,1,0.69,2
STD,ref.curve,C2,1,0.614,2
STD,ref.curve,C3,1,0.632,2
STD,ref.curve,D1,2.5,0.986,2
STD,ref.curve,D2,2.5,0.975,2
STD,ref.curve,D3,2.5,0.953,2
STD,ref.curve,E1,5,1.458,2
STD,ref.curve,E2,5,1.464,2
STD,ref.curve,E3,5,1.458,2
STD,ref.curve,F1,10,2.453,2
STD,ref.curve,F2,10,2.462,2
STD,ref.curve,F3,10,2.518,2
STD,ref.curve,G1,15,3.271,2
STD,ref.curve,G2,15,3.302,2
STD,ref.curve,G3,15,3.425,2
