type,id,well,stand.conc,abs.650,abs.540,plate,analysis.type
SPL,CC1_C_2,F5,,0.766,NA,1,nh4
SPL,CC1_C_3,E6,,2.075,NA,1,nh4
SPL,CC1_C_3,F6,,2.047,NA,1,nh4
SPL,CC1_C_4,E7,,1.548,NA,1,nh4
SPL,CC1_C_4,F7,,1.58,NA,1,nh4
SPL,CC1_C_5,E8,,0.696,NA,1,nh4
SPL,CC1_C_5,F8,,0.707,NA,1,nh4
SPL,CC1_NO3_1,E9,,0.498,NA,1,nh4
SPL,CC1_NO3_1,F9,,0.495,NA,1,nh4
SPL,CC1_NO3_2,E10,,0.769,NA,1,nh4
SPL,CC1_NO3_2,F10,,0.793,NA,1,nh4
SPL,CC1_NO3_3,E11,,0.659,NA,1,nh4
SPL,CC1_NO3_3,F11,,0.684,NA,1,nh4
SPL,CC1_NO3_4,E12,,0.91,NA,1,nh4
SPL,CC1_NO3_4,F12,,0.955,NA,1,nh4
SPL,CC1_S_1,G4,,0.968,NA,1,nh4
SPL,CC1_S_1,G5,,0.986,NA,1,nh4
SPL,CC1_S_2,G6,,1.719,NA,1,nh4
SPL,CC1_S_2,G7,,1.641,NA,1,nh4
SPL,CC1_S_3,G8,,0.723,NA,1,nh4
SPL,CC1_S_3,G9,,0.738,NA,1,nh4
SPL,CC1_S_4,G10,,1.977,NA,1,nh4
SPL,CC1_S_4,G11,,1.955,NA,1,nh4
SPL,CC1_S_5,G12,,0.852,NA,1,nh4
SPL,CC1_S_5,H12,,0.85,NA,1,nh4
STD,ref.curve,A1,0,0.474,NA,1,nh4
STD,ref.curve,A2,0,0.441,NA,1,nh4
STD,ref.curve,A3,0,0.435,NA,1,nh4
STD,ref.curve,B1,0.5,0.57,NA,1,nh4
STD,ref.curve,B2,0.5,0.545,NA,1,nh4
STD,ref.curve,B3,0.5,0.527,NA,1,nh4
STD,ref.curve,C1,1,0.682,NA,1,nh4
STD,ref.curve,C2,1,0.644,NA,1,nh4
STD,ref.curve,C3,1,0.648,NA,1,nh4
STD,ref.curve,D1,2.5,0.981,NA,1,nh4
STD,ref.curve,D2,2.5,0.988,NA,1,nh4
STD,ref.curve,D3,2.5,0.947,NA,1,nh4
STD,ref.curve,E1,5,1.46,NA,1,nh4
STD,ref.curve,E2,5,1.5,NA,1,nh4
STD,ref.curve,E3,5,1.47,NA,1,nh4
STD,ref.curve,F1,10,2.412,NA,1,nh4
STD,ref.curve,F2,10,2.578,NA,1,nh4
STD,ref.curve,F3,10,2.424,NA,1,nh4
STD,ref.curve,G1,15,3.303,NA,1,nh4
STD,ref.curve,G2,15,3.273,NA,1,nh4
STD,ref.curve,G3,15,3.232,NA,1,nh4
BLK,blank,H9,,0.384,NA,2,nh4
BLK,blank,H10,,0.378,NA,2,nh4
BLK,blank,H11,,0.376,NA,2,nh4
POS,positive.control,H1,0.5,0.623,NA,2,nh4
POS,positive.control,H2,0.5,0.484,NA,2,nh4
POS,positive.control,H3,1,0.6,NA,2,nh4
POS,positive.control,H4,1,0.586,NA,2,nh4
POS,positive.control,H5,5,1.441,NA,2,nh4
POS,positive.control,H6,5,1.495,NA,2,nh4
POS,positive.control,H7,10,2.413,NA,2,nh4
POS,positive.control,H8,10,2.503,NA,2,nh4
SPL,CC1_AS_1,A4,,1.044,NA,2,nh4
SPL,CC1_AS_1,B4,,1.057,NA,2,nh4
SPL,CC1_AS_2,A5,,2.944,NA,2,nh4
SPL,CC1_AS_2,B5,,2.955,NA,2,nh4
SPL,CC1_AS_3,A6,,2.472,NA,2,nh4
SPL,CC1_AS_3,B6,,2.517,NA,2,nh4
SPL,CC1_AS_4,A7,,0.593,NA,2,nh4
SPL,CC1_AS_4,B7,,0.596,NA,2,nh4
SPL,CC1_AS_5,A8,,2.264,NA,2,nh4
SPL,CC1_AS_5,B8,,2.236,NA,2,nh4
SPL,MP1_C_1,A9,,0.508,NA,2,nh4
SPL,MP1_C_1,B9,,0.522,NA,2,nh4
SPL,MP1_C_2,A10,,0.546,NA,2,nh4
SPL,MP1_C_2,B10,,0.545,NA,2,nh4
SPL,MP1_C_3,A11,,0.445,NA,2,nh4
SPL,MP1_C_3,B11,,0.432,NA,2,nh4
SPL,MP1_C_4,A12,,0.56,NA,2,nh4
SPL,MP1_C_4,B12,,0.534,NA,2,nh4
SPL,MP1_C_5,C4,,0.706,NA,2,nh4
SPL,MP1_C_5,D4,,0.677,NA,2,nh4
SPL,MP1_NO3_1,C5,,0.519,NA,2,nh4
SPL,MP1_NO3_1,D5,,0.558,NA,2,nh4
SPL,MP1_NO3_2,C6,,0.671,NA,2,nh4
SPL,MP1_NO3_2,D6,,0.68,NA,2,nh4
SPL,MP1_NO3_3,C7,,0.681,NA,2,nh4
SPL,MP1_NO3_3,D7,,0.68,NA,2,nh4
SPL,MP1_NO3_4,C8,,0.668,NA,2,nh4
SPL,MP1_NO3_4,D8,,0.706,NA,2,nh4
SPL,MP1_NO3_5,C9,,0.395,NA,2,nh4
SPL,MP1_NO3_5,D9,,0.385,NA,2,nh4
SPL,MP1_S_1,C10,,0.858,NA,2,nh4
SPL,MP1_S_1,D10,,0.845,NA,2,nh4
SPL,MP1_S_2,C11,,1.298,NA,2,nh4
SPL,MP1_S_2,D11,,1.273,NA,2,nh4
SPL,MP1_S_3,C12,,0.926,NA,2,nh4
SPL,MP1_S_3,D12,,0.95,NA,2,nh4
SPL,MP1_S_4,E4,,3.058,NA,2,nh4
SPL,MP1_S_4,F4,,3.118,NA,2,nh4
SPL,MP1_S_5,E5,,0.389,NA,2,nh4
SPL,MP1_S_5,F5,,0.422,NA,2,nh4
SPL,MP1_AS_1,E6,,0.647,NA,2,nh4
SPL,MP1_AS_1,F6,,0.679,NA,2,nh4
SPL,MP1_AS_2,E7,,1.794,NA,2,nh4
SPL,MP1_AS_2,F7,,1.794,NA,2,nh4
SPL,MP1_AS_3,E8,,2.882,NA,2,nh4
SPL,MP1_AS_3,F8,,2.889,NA,2,nh4
SPL,MP1_AS_4,E9,,1.242,NA,2,nh4
SPL,MP1_AS_4,F9,,1.204,NA,2,nh4
SPL,MP1_AS_5,E10,,0.375,NA,2,nh4
SPL,MP1_AS_5,F10,,0.382,NA,2,nh4
SPL,,E11,,0.382,NA,2,nh4
SPL,,F11,,0.399,NA,2,nh4
SPL,,E12,,0.361,NA,2,nh4
SPL,,F12,,0.365,NA,2,nh4
SPL,,G4,,0.363,NA,2,nh4
SPL,,G5,,0.381,NA,2,nh4
SPL,,G6,,0.381,NA,2,nh4
SPL,,G7,,0.382,NA,2,nh4
SPL,,G8,,0.395,NA,2,nh4
SPL,,G9,,0.382,NA,2,nh4
SPL,,G10,,0.381,NA,2,nh4
SPL,,G11,,0.368,NA,2,nh4
SPL,,G12,,0.36,NA,2,nh4
SPL,,H12,,0.355,NA,2,nh4
STD,ref.curve,A1,0,0.466,NA,2,nh4
STD,ref.curve,A2,0,0.428,NA,2,nh4
STD,ref.curve,A3,0,0.419,NA,2,nh4
STD,ref.curve,B1,0.5,0.569,NA,2,nh4
STD,ref.curve,B2,0.5,0.531,NA,2,nh4
STD,ref.curve,B3,0.5,0.51,NA,2,nh4
STD,ref.curve,C1,1,0.69,NA,2,nh4
STD,ref.curve,C2,1,0.614,NA,2,nh4
STD,ref.curve,C3,1,0.632,NA,2,nh4
STD,ref.curve,D1,2.5,0.986,NA,2,nh4
STD,ref.curve,D2,2.5,0.975,NA,2,nh4
STD,ref.curve,D3,2.5,0.953,NA,2,nh4
STD,ref.curve,E1,5,1.458,NA,2,nh4
STD,ref.curve,E2,5,1.464,NA,2,nh4
STD,ref.curve,E3,5,1.458,NA,2,nh4
STD,ref.curve,F1,10,2.453,NA,2,nh4
STD,ref.curve,F2,10,2.462,NA,2,nh4
STD,ref.curve,F3,10,2.518,NA,2,nh4
STD,ref.curve,G1,15,3.271,NA,2,nh4
STD,ref.curve,G2,15,3.302,NA,2,nh4
STD,ref.curve,G3,15,3.425,NA,2,nh4
BLK,blank,H9,,,0.29,1,no3
BLK,blank,H10,,,0.285,1,no3
BLK,blank,H11,,,0.287,1,no3
POS,positive.control,H1,1,,0.405,1,no3
POS,positive.control,H2,1,,0.314,1,no3
POS,positive.control,H3,2.5,,0.368,1,no3
POS,positive.control,H4,2.5,,0.355,1,no3
POS,positive.control,H5,5,,0.42,1,no3
POS,positive.control,H6,5,,0.444,1,no3
POS,positive.control,H7,10,,0.575,1,no3
POS,positive.control,H8,10,,0.585,1,no3
SPL,BH1_C_1,A4,,,0.714,1,no3
SPL,BH1_C_1,B4,,,0.702,1,no3
SPL,BH1_C_2,A5,,,0.366,1,no3
SPL,BH1_C_2,B5,,,0.355,1,no3
SPL,BH1_C_3,A6,,,0.37,1,no3
SPL,BH1_C_3,B6,,,0.323,1,no3
SPL,BH1_C_4,A7,,,0.89,1,no3
SPL,BH1_C_4,B7,,,0.817,1,no3
SPL,BH1_NO3_1,A8,,,1.12,1,no3
SPL,BH1_NO3_1,B8,,,1.078,1,no3
SPL,BH1_NO3_2,A9,,,1.145,1,no3
SPL,BH1_NO3_2,B9,,,1.128,1,no3
SPL,BH1_NO3_3,A10,,,0.578,1,no3
SPL,BH1_NO3_3,B10,,,0.536,1,no3
SPL,BH1_NO3_4,A11,,,0.325,1,no3
SPL,BH1_NO3_4,B11,,,0.789,1,no3
SPL,BH1_NO3_5,A12,,,0.522,1,no3
SPL,BH1_NO3_5,B12,,,0.517,1,no3
SPL,BH1_S_2,C4,,,0.372,1,no3
SPL,BH1_S_2,D4,,,0.362,1,no3
SPL,BH1_S_3,C5,,,0.297,1,no3
SPL,BH1_S_3,D5,,,0.348,1,no3
SPL,NA,C6,,,0.311,1,no3
SPL,NA,D6,,,0.308,1,no3
SPL,BH1_S_5,C7,,,0.382,1,no3
SPL,BH1_S_5,D7,,,0.35,1,no3
SPL,BH1_AS_1,C8,,,0.863,1,no3
SPL,BH1_AS_1,D8,,,0.89,1,no3
SPL,BH1_AS_2,C9,,,0.937,1,no3
SPL,BH1_AS_2,D9,,,0.936,1,no3
SPL,BH1_AS_3,C10,,,1.655,1,no3
SPL,BH1_AS_3,D10,,,1.662,1,no3
SPL,BH1_AS_4,C11,,,0.792,1,no3
SPL,BH1_AS_4,D11,,,0.849,1,no3
SPL,BH1_AS_5,C12,,,0.785,1,no3
SPL,BH1_AS_5,D12,,,0.756,1,no3
SPL,CC1_C_1,E4,,,0.841,1,no3
SPL,CC1_C_1,F4,,,0.823,1,no3
SPL,CC1_C_2,E5,,,0.797,1,no3
SPL,CC1_C_2,F5,,,0.821,1,no3
SPL,CC1_C_3,E6,,,0.774,1,no3
SPL,CC1_C_3,F6,,,0.774,1,no3
SPL,CC1_C_4,E7,,,1.064,1,no3
SPL,CC1_C_4,F7,,,1.034,1,no3
SPL,CC1_C_5,E8,,,0.882,1,no3
SPL,CC1_C_5,F8,,,0.874,1,no3
SPL,CC1_NO3_1,E9,,,0.558,1,no3
SPL,CC1_NO3_1,F9,,,0.548,1,no3
SPL,CC1_NO3_2,E10,,,0.621,1,no3
SPL,CC1_NO3_2,F10,,,0.628,1,no3
SPL,CC1_NO3_3,E11,,,0.852,1,no3
SPL,CC1_NO3_3,F11,,,0.869,1,no3
SPL,CC1_NO3_4,E12,,,1.113,1,no3
SPL,CC1_NO3_4,F12,,,1.125,1,no3
SPL,CC1_S_1,G4,,,0.493,1,no3
SPL,CC1_S_1,G5,,,0.554,1,no3
SPL,CC1_S_2,G6,,,0.377,1,no3
SPL,CC1_S_2,G7,,,0.371,1,no3
SPL,CC1_S_3,G8,,,0.335,1,no3
SPL,CC1_S_3,G9,,,0.337,1,no3
SPL,CC1_S_4,G10,,,0.344,1,no3
SPL,CC1_S_4,G11,,,0.339,1,no3
SPL,CC1_S_5,G12,,,0.335,1,no3
SPL,CC1_S_5,H12,,,0.325,1,no3
STD,ref.curve,A1,0,,0.386,1,no3
STD,ref.curve,A2,0,,0.353,1,no3
STD,ref.curve,A3,0,,0.336,1,no3
STD,ref.curve,B1,1,,0.406,1,no3
STD,ref.curve,B2,1,,0.358,1,no3
STD,ref.curve,B3,1,,0.335,1,no3
STD,ref.curve,C1,2.5,,0.461,1,no3
STD,ref.curve,C2,2.5,,0.372,1,no3
STD,ref.curve,C3,2.5,,0.397,1,no3
STD,ref.curve,D1,5,,0.546,1,no3
STD,ref.curve,D2,5,,0.54,1,no3
STD,ref.curve,D3,5,,0.442,1,no3
STD,ref.curve,E1,10,,0.601,1,no3
STD,ref.curve,E2,10,,0.572,1,no3
STD,ref.curve,E3,10,,0.583,1,no3
STD,ref.curve,F1,20,,0.877,1,no3
STD,ref.curve,F2,20,,0.875,1,no3
STD,ref.curve,F3,20,,0.85,1,no3
STD,ref.curve,G1,30,,1.157,1,no3
STD,ref.curve,G2,30,,1.115,1,no3
STD,ref.curve,G3,30,,1.162,1,no3
BLK,blank,H9,,,0.309,2,no3
BLK,blank,H10,,,0.29,2,no3
BLK,blank,H11,,,0.289,2,no3
POS,positive.control,H1,1,,0.401,2,no3
POS,positive.control,H2,1,,0.325,2,no3
POS,positive.control,H3,2.5,,0.371,2,no3
POS,positive.control,H4,2.5,,0.36,2,no3
POS,positive.control,H5,5,,0.445,2,no3
POS,positive.control,H6,5,,0.43,2,no3
POS,positive.control,H7,10,,0.579,2,no3
POS,positive.control,H8,10,,0.579,2,no3
SPL,CC1_AS_1,A4,,,0.925,2,no3
SPL,CC1_AS_1,B4,,,0.922,2,no3
SPL,CC1_AS_2,A5,,,1.536,2,no3
SPL,CC1_AS_2,B5,,,1.528,2,no3
SPL,CC1_AS_3,A6,,,1.085,2,no3
SPL,CC1_AS_3,B6,,,1.049,2,no3
SPL,CC1_AS_4,A7,,,0.82,2,no3
SPL,CC1_AS_4,B7,,,0.784,2,no3
SPL,CC1_AS_5,A8,,,0.869,2,no3
SPL,CC1_AS_5,B8,,,0.859,2,no3
SPL,MP1_C_1,A9,,,0.341,2,no3
SPL,MP1_C_1,B9,,,0.344,2,no3
SPL,MP1_C_2,A10,,,0.347,2,no3
SPL,MP1_C_2,B10,,,0.321,2,no3
SPL,MP1_C_3,A11,,,0.432,2,no3
SPL,MP1_C_3,B11,,,0.409,2,no3
SPL,MP1_C_4,A12,,,0.415,2,no3
SPL,MP1_C_4,B12,,,0.416,2,no3
SPL,MP1_C_5,C4,,,0.394,2,no3
SPL,MP1_C_5,D4,,,0.333,2,no3
SPL,MP1_NO3_1,C5,,,0.342,2,no3
SPL,MP1_NO3_1,D5,,,0.333,2,no3
SPL,MP1_NO3_2,C6,,,0.337,2,no3
SPL,MP1_NO3_2,D6,,,0.337,2,no3
SPL,MP1_NO3_3,C7,,,0.407,2,no3
SPL,MP1_NO3_3,D7,,,0.407,2,no3
SPL,MP1_NO3_4,C8,,,0.388,2,no3
SPL,MP1_NO3_4,D8,,,0.423,2,no3
SPL,NA,C9,,,0.312,2,no3
SPL,NA,D9,,,0.318,2,no3
SPL,MP1_S_1,C10,,,0.324,2,no3
SPL,MP1_S_1,D10,,,0.325,2,no3
SPL,MP1_S_2,C11,,,0.295,2,no3
SPL,MP1_S_2,D11,,,0.309,2,no3
SPL,MP1_S_3,C12,,,0.341,2,no3
SPL,MP1_S_3,D12,,,0.336,2,no3
SPL,MP1_S_4,E4,,,0.423,2,no3
SPL,MP1_S_4,F4,,,0.413,2,no3
SPL,NA,E5,,,0.305,2,no3
SPL,NA,F5,,,0.317,2,no3
SPL,MP1_AS_1,E6,,,0.334,2,no3
SPL,MP1_AS_1,F6,,,0.335,2,no3
SPL,MP1_AS_2,E7,,,0.445,2,no3
SPL,MP1_AS_2,F7,,,0.426,2,no3
SPL,MP1_AS_3,E8,,,0.387,2,no3
SPL,MP1_AS_3,F8,,,0.388,2,no3
SPL,MP1_AS_4,E9,,,0.509,2,no3
SPL,MP1_AS_4,F9,,,0.503,2,no3
SPL,NA,E10,,,0.293,2,no3
SPL,NA,F10,,,0.314,2,no3
SPL,NA,E11,,,0.307,2,no3
SPL,NA,F11,,,0.335,2,no3
SPL,NA,E12,,,0.29,2,no3
SPL,NA,F12,,,0.294,2,no3
SPL,NA,G4,,,0.292,2,no3
SPL,NA,G5,,,0.296,2,no3
SPL,NA,G6,,,0.303,2,no3
SPL,NA,G7,,,0.294,2,no3
SPL,NA,G8,,,0.3,2,no3
SPL,NA,G9,,,0.302,2,no3
SPL,NA,G10,,,0.306,2,no3
SPL,NA,G11,,,0.293,2,no3
SPL,NA,G12,,,0.29,2,no3
SPL,NA,H12,,,0.28,2,no3
STD,ref.curve,A1,0,,0.399,2,no3
STD,ref.curve,A2,0,,0.361,2,no3
STD,ref.curve,A3,0,,0.342,2,no3
STD,ref.curve,B1,1,,0.421,2,no3
STD,ref.curve,B2,1,,0.365,2,no3
STD,ref.curve,B3,1,,0.338,2,no3
STD,ref.curve,C1,2.5,,0.472,2,no3
STD,ref.curve,C2,2.5,,0.363,2,no3
STD,ref.curve,C3,2.5,,0.404,2,no3
STD,ref.curve,D1,5,,0.528,2,no3
STD,ref.curve,D2,5,,0.49,2,no3
STD,ref.curve,D3,5,,0.447,2,no3
STD,ref.curve,E1,10,,0.621,2,no3
STD,ref.curve,E2,10,,0.599,2,no3
STD,ref.curve,E3,10,,0.577,2,no3
STD,ref.curve,F1,20,,0.874,2,no3
STD,ref.curve,F2,20,,0.907,2,no3
STD,ref.curve,F3,20,,0.945,2,no3
STD,ref.curve,G1,30,,1.197,2,no3
STD,ref.curve,G2,30,,1.153,2,no3
STD,ref.curve,G3,30,,1.166,2,no3
